id,index,x,y,under_pressure,shot_one_on_one,end_x,end_y,goal,goal_smf,x0,c,angle,distance,body_part_name_Head,body_part_name_Left Foot,body_part_name_Other,body_part_name_Right Foot,technique_name_Backheel,technique_name_Diving Header,technique_name_Half Volley,technique_name_Lob,technique_name_Normal,technique_name_Overhead Kick,technique_name_Volley,gk_distance,gk_distance_y,close_players,triangle,gk_dist_to_goal
0b5aa5c3-f333-4d67-8f40-069454843d2e,2945,2.012500000000003,42.075,0,0,119.0,45.5,0,0,102.9875,8.075000000000003,14.773729856826987,8.322005842944359,False,False,False,True,False,False,False,False,True,False,False,3.827914739123641,3.655000000000001,0,1,4.505776847559144
0dce31b6-08dc-453f-a057-c5128281e5c5,3034,9.450000000000003,30.854999999999997,0,0,118.9,39.6,0,0,95.55,3.145000000000003,38.877262803294734,9.959594620264426,False,False,False,True,False,False,True,False,False,False,False,8.673170196070176,1.7850000000000037,2,2,1.6661351235719177
e935ae95-20bb-4a72-8e24-6ded86aaef28,3038,5.775000000000006,39.355,0,0,120.0,44.9,0,0,99.225,5.354999999999997,40.99910960304245,7.875699968891656,False,False,False,True,False,False,True,False,False,False,False,5.75571237988835,3.740000000000002,0,1,2.1373406373341615
3267ad78-4acb-41c1-8d91-7a50cfb84fd3,3116,6.299999999999997,20.74,0,0,118.1,36.4,0,0,98.7,13.260000000000002,12.852554960111483,14.680517702043073,False,True,False,False,False,False,False,False,True,False,False,11.240841827905957,10.030000000000005,1,1,3.4544934505655047
34f10fcb-d5a4-4ffc-8ace-75c4a8e0cd31,3119,6.912499999999994,35.275,0,0,120.0,38.8,1,1,98.0875,1.2749999999999986,54.559777425076774,7.029102449815333,False,True,False,False,False,False,False,False,True,False,False,5.49487488483586,2.8049999999999926,1,1,2.669467409428327
8281fe44-07ee-479f-9b04-730cc2933fbf,3270,3.9375,33.489999999999995,1,0,120.0,42.6,0,0,101.0625,0.5100000000000051,85.30243777331732,3.9703911960913882,True,False,False,False,False,False,False,False,True,False,False,1.2233764751702685,1.105000000000011,3,1,3.4639834367386872
f525e449-2db7-42c7-828f-9b2e1b1d0973,3343,2.012500000000003,42.67,0,1,120.0,42.2,1,1,102.9875,8.670000000000002,12.615099242730475,8.900508763548299,False,False,False,True,False,False,False,False,True,False,False,4.997464357051485,4.844999999999999,1,1,3.9052248654847026
55b4efd0-aeed-4faa-809d-f25b2def922e,3479,11.462500000000006,34.85,1,0,120.0,46.2,0,0,93.5375,0.8500000000000014,35.25175837694553,11.493972605239675,True,False,False,False,False,False,False,False,True,False,False,10.415621980947666,0.25499999999999545,1,2,1.2068657754696672
c8699b0f-08da-41af-8731-6e747b1e85f2,3637,29.575000000000003,31.620000000000005,0,0,120.0,29.9,0,0,75.425,2.3799999999999955,14.020794328644413,29.670608773666917,False,False,False,True,False,False,False,False,True,False,False,27.40354721564345,2.3799999999999955,0,3,2.2750000000000057
66db29b6-02e8-42c4-ada2-354d89df4575,3652,17.237499999999997,34.765,0,0,120.0,34.4,0,0,87.7625,0.7650000000000006,23.93111388659399,17.254466994085906,False,False,False,True,False,False,True,False,False,False,False,14.184171636017378,0.5100000000000051,0,1,3.0730979890006758
